Disease Name,Common Symptoms,Patient Reported Symptoms,Additional Symptoms,Severity,Possible Causes
Acoustic Neuroma,"Unilateral hearing loss, tinnitus",Gradual loss of hearing in one ear,"Dizziness, facial numbness",Moderate,"Genetic mutations, radiation exposure"
Acoustic Neuroma,"Tinnitus, balance issues","Ringing in the ear, unsteadiness","Headaches, facial weakness",Mild,Sporadic gene mutation
Acoustic Neuroma,"Unilateral hearing loss, dizziness",Sudden hearing loss on one side,"Tinnitus, vertigo",Severe,Neurofibromatosis type II
Acoustic Neuroma,"Facial numbness, tinnitus","Numbness in facial area, buzzing in ear","Balance problems, headaches",Moderate,Schwann cell overproduction
Acoustic Neuroma,"Unilateral hearing loss, vertigo","Difficulty hearing on one side, spinning sensation","Tinnitus, facial weakness",Severe,Chromosome 22 mutation
Acoustic Neuroma,"Tinnitus, facial weakness","Continuous ringing in ear, drooping facial muscles","Dizziness, headaches",Moderate,Genetic predisposition
Acoustic Neuroma,"Balance issues, unilateral hearing loss","Frequent falls, reduced hearing on one side","Tinnitus, facial numbness",Mild,Environmental factors
Acoustic Neuroma,"Dizziness, tinnitus","Lightheadedness, persistent ear ringing","Unsteady gait, facial weakness",Moderate,Sporadic occurrence
Acoustic Neuroma,"Facial numbness, balance issues","Tingling sensation in face, loss of balance","Hearing loss, tinnitus",Severe,Radiation exposure
Acoustic Neuroma,"Unilateral hearing loss, headaches","Muffled hearing on one side, persistent headaches","Tinnitus, dizziness",Moderate,Genetic mutations
Acoustic Neuroma,"Tinnitus, vertigo","Buzzing in ear, episodes of spinning","Hearing loss, facial numbness",Severe,Schwann cell proliferation
Acoustic Neuroma,"Facial weakness, dizziness","Drooping on one side of face, lightheadedness","Tinnitus, balance issues",Moderate,Chromosome 22 anomaly
Acoustic Neuroma,"Unilateral hearing loss, facial numbness","Decreased hearing on one side, facial tingling","Dizziness, tinnitus",Mild,Genetic factors
Acoustic Neuroma,"Tinnitus, headaches","Constant ear ringing, frequent headaches","Hearing loss, balance problems",Moderate,Environmental influences
Acoustic Neuroma,"Balance issues, facial weakness","Unsteady while walking, facial drooping","Tinnitus, dizziness",Severe,Sporadic gene mutation
Acoustic Neuroma,"Dizziness, unilateral hearing loss","Vertigo, reduced hearing on one side","Tinnitus, facial numbness",Moderate,Neurofibromatosis type II
Acoustic Neuroma,"Facial numbness, tinnitus","Numbness in face, continuous ear buzzing","Balance issues, headaches",Mild,Schwann cell overgrowth
Acoustic Neuroma,"Unilateral hearing loss, vertigo","Hearing decline on one side, spinning sensation","Tinnitus, facial weakness",Severe,Genetic mutations
Acoustic Neuroma,"Tinnitus, facial weakness","Persistent ringing in ear, facial muscle weakness","Dizziness, headaches",Moderate,Chromosome 22 mutation
Acoustic Neuroma,"Balance issues, unilateral hearing loss","Difficulty maintaining balance, hearing loss on one side","Tinnitus, facial numbness",Mild,Genetic predisposition
Adenoiditis,"Nasal congestion, sore throat","Blocked nose, pain in throat","Ear pain, fever",Moderate,Bacterial or viral infection
Adenoiditis,"Runny nose, difficulty breathing","Persistent nasal discharge, shortness of breath","Snoring, ear discomfort",Mild,Bacterial infection
Adenoiditis,"Postnasal drip, nasal congestion","Mucus dripping into throat, blocked nose","Sore throat, mild fever",Moderate,Viral infection
Adenoiditis,"Swollen adenoids, nasal blockage","Inflamed throat, trouble breathing through nose","Cough, ear infections",Severe,Chronic sinus infections
Adenoiditis,"Mouth breathing, persistent cough","Breathing mostly through mouth, dry throat","Snoring, bad breath",Moderate,Allergic reaction
Adenoiditis,"Fever, enlarged adenoids","High temperature, swollen lymph nodes","Fatigue, ear discomfort",Severe,Bacterial streptococcal infection
Adenoiditis,"Nasal speech, hoarseness","Talking with nasal sound, hoarse voice","Snoring, difficulty swallowing",Moderate,Recurrent throat infections
Adenoiditis,"Frequent ear infections, cough","Recurring ear pain, constant coughing","Runny nose, mild fever",Mild,Viral pathogens
Adenoiditis,"Blocked nose, difficulty sleeping","Nasal congestion, disrupted sleep","Snoring, headaches",Moderate,Exposure to allergens
Adenoiditis,"Persistent sore throat, facial pressure","Throat pain for weeks, tightness in face","Sinus pain, cough",Severe,Untreated upper respiratory infections
Adenoiditis,"Swollen tonsils, difficulty swallowing","Enlarged tonsils, trouble eating","Ear pain, nasal congestion",Moderate,Bacterial infection
Adenoiditis,"Breathing difficulties, sleep apnea","Obstructed breathing, trouble sleeping","Snoring, headaches",Severe,Chronic allergies
Adenoiditis,"Persistent mucus, mild fever","Thick nasal discharge, low-grade fever","Postnasal drip, coughing",Mild,Common cold virus
Adenoiditis,"Throat discomfort, ear blockage","Irritated throat, ear pressure","Muffled hearing, fatigue",Moderate,Environmental pollutants
Adenoiditis,"Recurring sinus infections, congestion","Repeated sinus pain, nasal stuffiness","Headaches, dry throat",Severe,Immune system deficiency
Adenoiditis,"Facial pain, inflamed throat","Pressure in face, redness in throat","Earache, fatigue",Moderate,Bacterial complications
Adenoiditis,"Snoring, heavy breathing","Loud snoring, deep inhaling during sleep","Daytime drowsiness, nasal discharge",Severe,Obstructive airway disorder
Adenoiditis,"Chronic nasal congestion, fatigue","Constant stuffy nose, feeling exhausted","Sinus pressure, mild fever",Moderate,Recurrent infections
Adenoiditis,"Dry mouth, swallowing difficulty","Feeling of dry mouth, throat pain while swallowing","Hoarseness, mild fever",Mild,Seasonal allergies
Adenoiditis,"Recurring throat infections, voice changes","Frequent sore throat, altered voice tone","Ear infections, nasal obstruction",Moderate,Chronic bacterial exposure
Allergic Rhinitis,"Sneezing, nasal congestion","Frequent sneezing, blocked nose","Watery eyes, itchy throat",Mild,Pollen exposure
Allergic Rhinitis,"Runny nose, itchy eyes","Persistent nasal discharge, eye irritation","Sneezing, postnasal drip",Moderate,Dust mites
Allergic Rhinitis,"Sinus pressure, nasal congestion","Facial tightness, difficulty breathing through nose","Sneezing, watery eyes",Mild,Pet dander
Allergic Rhinitis,"Persistent sneezing, postnasal drip","Uncontrollable sneezing, mucus dripping into throat","Itchy nose, nasal congestion",Moderate,Seasonal allergies
Allergic Rhinitis,"Nasal itching, congestion","Continuous nose irritation, trouble breathing through nose","Watery eyes, sore throat",Severe,Mold spores
Allergic Rhinitis,"Red eyes, coughing","Bloodshot eyes, dry cough","Fatigue, nasal congestion",Moderate,Grass pollen
Allergic Rhinitis,"Watery eyes, difficulty sleeping","Excessive tearing, trouble falling asleep","Sneezing, postnasal drip",Mild,Airborne allergens
Allergic Rhinitis,"Chronic nasal congestion, fatigue","Blocked nose, tiredness throughout the day","Headaches, sneezing",Severe,Dust allergies
Allergic Rhinitis,"Itchy throat, postnasal drip","Irritated throat, mucus buildup","Cough, difficulty swallowing",Moderate,Pet hair exposure
Allergic Rhinitis,"Runny nose, frequent headaches","Constantly dripping nose, pressure headaches","Nasal congestion, fatigue",Mild,Tree pollen
Allergic Rhinitis,"Persistent cough, nasal irritation","Dry coughing episodes, itchy nose","Sinus pain, postnasal drip",Moderate,Air pollution
Allergic Rhinitis,"Sinus pressure, ear fullness","Headache due to sinus swelling, sensation of plugged ears","Sneezing, dry throat",Mild,Household dust
Allergic Rhinitis,"Mild fever, nasal discharge","Low-grade fever, runny nose","Sinus pressure, sneezing",Moderate,Seasonal allergens
Allergic Rhinitis,"Frequent throat clearing, nasal itching","Constant need to clear throat, irritated nose","Watery eyes, postnasal drip",Severe,Mold spores
Allergic Rhinitis,"Chronic dry throat, congestion","Persistent dryness in throat, stuffy nose","Coughing, mild fever",Moderate,Chemical irritants
Allergic Rhinitis,"Daytime drowsiness, nasal congestion","Feeling exhausted during the day, stuffy nose","Frequent sneezing, sinus pain",Severe,Pollen exposure
Allergic Rhinitis,"Hoarseness, itchy nose","Voice changes, constant nose irritation","Watery eyes, nasal congestion",Moderate,Dust and pollen
Allergic Rhinitis,"Swollen sinuses, sore throat","Facial tightness, discomfort while swallowing","Fatigue, nasal congestion",Mild,Outdoor allergens
Allergic Rhinitis,"Watery nasal discharge, sneezing","Excessive clear nasal mucus, repetitive sneezing","Postnasal drip, itchy throat",Moderate,Grass and tree pollen
Allergic Rhinitis,"Chronic nasal congestion, breathing issues",Difficulty breathing due to blocked nasal passages,"Sneezing, watery eyes",Severe,Indoor dust exposure
Anosmia,"Loss of smell, nasal congestion","Unable to detect odors, blocked nose","Taste alteration, dry nose",Moderate,"Viral infections (e.g., COVID-19)"
Anosmia,"Partial loss of smell, difficulty detecting food aromas","Weakened scent recognition, muted flavors","Sinusitis, mild headaches",Mild,Chronic sinus infections
